Player,Age,Team,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
Brandon Jacobs,26.0,NYG,13.0,13.0,219.0,1089.0,15.0,58.0,50.2,44.0,5.0,83.8,16.8,3.0,
Justin Fargas,28.0,OAK,14.0,14.0,218.0,853.0,1.0,33.0,43.1,42.0,3.9,60.9,15.6,3.0,
Cedric Benson,26.0,CIN,12.0,10.0,214.0,747.0,2.0,36.0,39.3,46.0,3.5,62.3,17.8,2.0,
Ronnie Brown,27.0,MIA,16.0,13.0,214.0,916.0,10.0,49.0,47.2,62.0,4.3,57.3,13.4,1.0,"PB,AP CPoY-8"
Willie Parker,28.0,PIT,11.0,11.0,210.0,791.0,5.0,29.0,41.0,34.0,3.8,71.9,19.1,0.0,
LenDale White,24.0,TEN,16.0,2.0,200.0,773.0,15.0,43.0,50.0,80.0,3.9,48.3,12.5,1.0,
Maurice Jones-Drew,23.0,JAX,16.0,3.0,197.0,824.0,12.0,49.0,46.2,46.0,4.2,51.5,12.3,6.0,
Larry Johnson,29.0,KAN,12.0,12.0,193.0,874.0,5.0,44.0,43.5,65.0,4.5,72.8,16.1,5.0,
Warrick Dunn,33.0,TAM,15.0,6.0,186.0,786.0,2.0,31.0,44.6,40.0,4.2,52.4,12.4,0.0,
Jonathan Stewart,21.0,CAR,16.0,0.0,184.0,836.0,10.0,42.0,41.8,41.0,4.5,52.3,11.5,2.0,
Derrick Ward,28.0,NYG,16.0,3.0,182.0,1025.0,2.0,53.0,50.0,51.0,5.6,64.1,11.4,2.0,
Willis McGahee,27.0,BAL,13.0,8.0,170.0,671.0,7.0,36.0,43.5,77.0,3.9,51.6,13.1,3.0,
Ricky Williams,31.0,MIA,16.0,3.0,160.0,659.0,4.0,36.0,45.6,51.0,4.1,41.2,10.0,5.0,
Julius Jones,27.0,SEA,15.0,10.0,158.0,698.0,2.0,30.0,39.2,33.0,4.4,46.5,10.5,4.0,
Sammy Morris,31.0,NWE,13.0,7.0,156.0,727.0,7.0,46.0,49.4,35.0,4.7,55.9,12.0,1.0,
Joseph Addai,25.0,IND,12.0,12.0,155.0,544.0,5.0,34.0,47.1,23.0,3.5,45.3,12.9,1.0,
Dominic Rhodes,29.0,IND,15.0,4.0,152.0,538.0,6.0,27.0,47.4,38.0,3.5,35.9,10.1,0.0,
Tim Hightower,22.0,ARI,16.0,7.0,143.0,399.0,10.0,34.0,36.4,30.0,2.8,24.9,8.9,2.0,
Fred Taylor,32.0,JAX,13.0,13.0,143.0,556.0,1.0,24.0,38.5,34.0,3.9,42.8,11.0,1.0,
Mewelde Moore,26.0,PIT,16.0,4.0,140.0,588.0,5.0,36.0,50.0,32.0,4.2,36.8,8.8,2.0,
Edgerrin James,30.0,ARI,13.0,7.0,133.0,514.0,3.0,25.0,41.4,35.0,3.9,39.5,10.2,2.0,
Earnest Graham,28.0,TAM,10.0,10.0,132.0,563.0,4.0,26.0,47.7,68.0,4.3,56.3,13.2,2.0,
Maurice Morris,29.0,SEA,13.0,6.0,132.0,574.0,0.0,29.0,43.9,45.0,4.3,44.2,10.2,1.0,
Fred Jackson,27.0,BUF,16.0,3.0,130.0,571.0,3.0,33.0,48.5,32.0,4.4,35.7,8.1,3.0,
Pierre Thomas,24.0,NOR,15.0,5.0,129.0,625.0,9.0,43.0,58.9,42.0,4.8,41.7,8.6,1.0,
Darren McFadden,21.0,OAK,13.0,5.0,113.0,499.0,4.0,25.0,37.2,50.0,4.4,38.4,8.7,3.0,
Deuce McAllister,30.0,NOR,13.0,6.0,107.0,418.0,5.0,24.0,55.1,19.0,3.9,32.2,8.2,0.0,
Ray Rice,21.0,BAL,13.0,4.0,107.0,454.0,0.0,21.0,41.1,60.0,4.2,34.9,8.2,1.0,
Reggie Bush,23.0,NOR,10.0,9.0,106.0,404.0,2.0,20.0,45.3,43.0,3.8,40.4,10.6,3.0,
Chris Perry,27.0,CIN,13.0,6.0,104.0,269.0,2.0,11.0,29.8,25.0,2.6,20.7,8.0,5.0,
Chester Taylor,29.0,MIN,16.0,1.0,101.0,399.0,4.0,19.0,42.6,21.0,4.0,24.9,6.3,2.0,
Michael Bush,24.0,OAK,15.0,0.0,95.0,421.0,3.0,15.0,36.8,67.0,4.4,28.1,6.3,1.0,
Jerious Norwood,25.0,ATL,16.0,0.0,95.0,489.0,4.0,22.0,42.1,45.0,5.1,30.6,5.9,2.0,
Tashard Choice,24.0,DAL,16.0,3.0,92.0,472.0,2.0,25.0,45.7,38.0,5.1,29.5,5.8,0.0,
Kevin Faulk,32.0,NWE,15.0,3.0,83.0,507.0,3.0,24.0,55.4,41.0,6.1,33.8,5.5,0.0,
LaMont Jordan,30.0,NWE,8.0,0.0,80.0,363.0,4.0,20.0,57.5,49.0,4.5,45.4,10.0,1.0,
Antonio Pittman,23.0,STL,12.0,5.0,79.0,296.0,0.0,16.0,43.0,24.0,3.7,24.7,6.6,1.0,
Correll Buckhalter,30.0,PHI,14.0,2.0,76.0,369.0,2.0,18.0,48.7,33.0,4.9,26.4,5.4,0.0,
DeShaun Foster,28.0,SFO,16.0,2.0,76.0,234.0,1.0,13.0,39.5,18.0,3.1,14.6,4.8,2.0,
Rudi Johnson,29.0,DET,14.0,4.0,76.0,237.0,1.0,11.0,28.9,27.0,3.1,16.9,5.4,1.0,
Michael Pittman,33.0,DEN,8.0,3.0,76.0,320.0,4.0,24.0,56.6,20.0,4.2,40.0,9.5,0.0,
Leon Washington,26.0,NYJ,16.0,1.0,76.0,448.0,6.0,17.0,50.0,61.0,5.9,28.0,4.8,3.0,"PB,AP-1"
Ahman Green,31.0,HOU,8.0,1.0,74.0,294.0,3.0,23.0,55.4,14.0,4.0,36.8,9.3,0.0,
BenJarvus Green-Ellis,23.0,NWE,9.0,3.0,74.0,275.0,5.0,23.0,54.1,15.0,3.7,30.6,8.2,0.0,
Matt Cassel,26.0,NWE,16.0,15.0,73.0,270.0,2.0,23.0,45.2,19.0,3.7,16.9,4.6,7.0,
David Garrard,30.0,JAX,16.0,16.0,73.0,322.0,2.0,32.0,60.3,24.0,4.4,20.1,4.6,7.0,
Peyton Hillis,22.0,DEN,12.0,6.0,68.0,343.0,5.0,25.0,63.2,19.0,5.0,28.6,5.7,0.0,
Ahmad Bradshaw,22.0,NYG,15.0,0.0,67.0,355.0,1.0,14.0,43.3,77.0,5.3,23.7,4.5,3.0,
Jamaal Charles,22.0,KAN,16.0,2.0,67.0,357.0,0.0,18.0,52.2,30.0,5.3,22.3,4.2,2.0,
Cadillac Williams,26.0,TAM,6.0,1.0,63.0,233.0,4.0,18.0,46.0,28.0,3.7,38.8,10.5,1.0,
T.J. Duckett,27.0,SEA,16.0,0.0,62.0,172.0,8.0,26.0,54.8,29.0,2.8,10.8,3.9,0.0,
Tyler Thigpen,24.0,KAN,14.0,11.0,62.0,386.0,3.0,22.0,58.1,32.0,6.2,27.6,4.4,6.0,
Ladell Betts,29.0,WAS,13.0,0.0,61.0,206.0,1.0,15.0,42.6,14.0,3.4,15.8,4.7,1.0,
Darren Sproles,25.0,SDG,16.0,0.0,61.0,330.0,1.0,15.0,45.9,37.0,5.4,20.6,3.8,3.0,
Selvin Young,25.0,DEN,8.0,5.0,61.0,303.0,1.0,11.0,47.5,49.0,5.0,37.9,7.6,1.0,
Ryan Fitzpatrick,26.0,CIN,13.0,12.0,60.0,304.0,2.0,24.0,53.3,22.0,5.1,23.4,4.6,11.0,
Jay Cutler,25.0,DEN,16.0,16.0,57.0,200.0,2.0,14.0,42.1,18.0,3.5,12.5,3.6,5.0,PB
Aaron Rodgers,25.0,GNB,16.0,16.0,56.0,207.0,4.0,21.0,48.2,21.0,3.7,12.9,3.5,10.0,
Matt Ryan,23.0,ATL,16.0,16.0,55.0,104.0,1.0,13.0,30.9,17.0,1.9,6.5,3.4,6.0,AP ORoY-1
Joe Flacco,23.0,BAL,16.0,16.0,52.0,180.0,2.0,16.0,34.6,38.0,3.5,11.3,3.3,11.0,
Jason Campbell,27.0,WAS,16.0,16.0,47.0,258.0,1.0,15.0,42.6,23.0,5.5,16.1,2.9,7.0,
Brandon Jackson,23.0,GNB,13.0,0.0,45.0,248.0,1.0,15.0,51.1,32.0,5.5,19.1,3.5,1.0,
Tatum Bell,27.0,DEN,7.0,3.0,44.0,249.0,2.0,10.0,45.5,37.0,5.7,35.6,6.3,0.0,
Donovan McNabb,32.0,PHI,16.0,16.0,39.0,147.0,2.0,11.0,43.6,17.0,3.8,9.2,2.4,7.0,
Trent Edwards,25.0,BUF,14.0,14.0,36.0,117.0,3.0,11.0,50.0,15.0,3.3,8.4,2.6,9.0,
Jeff Garcia,38.0,TAM,12.0,11.0,35.0,148.0,1.0,14.0,54.3,20.0,4.2,12.3,2.9,7.0,
Andre Hall,26.0,DEN,8.0,0.0,35.0,144.0,0.0,7.0,51.4,16.0,4.1,18.0,4.4,2.0,
Kolby Smith,24.0,KAN,7.0,3.0,35.0,100.0,1.0,5.0,40.0,19.0,2.9,14.3,5.0,0.0,
Jerome Harrison,25.0,CLE,15.0,0.0,34.0,246.0,1.0,11.0,52.9,72.0,7.2,16.4,2.3,0.0,
Kevin Jones,26.0,CHI,11.0,0.0,34.0,109.0,0.0,7.0,29.4,16.0,3.2,9.9,3.1,0.0,
Ben Roethlisberger,26.0,PIT,16.0,16.0,34.0,101.0,2.0,8.0,35.3,17.0,3.0,6.3,2.1,14.0,
Kenneth Darby,26.0,STL,10.0,0.0,32.0,140.0,0.0,9.0,40.6,14.0,4.4,14.0,3.2,1.0,
J.J. Arrington,25.0,ARI,11.0,3.0,31.0,187.0,1.0,9.0,41.9,30.0,6.0,17.0,2.8,0.0,
Philip Rivers,27.0,SDG,16.0,16.0,31.0,84.0,0.0,12.0,58.1,11.0,2.7,5.3,1.9,8.0,"AP MVP-6,AP OPoY-4,AP CPoY-8"
Matt Schaub,27.0,HOU,11.0,11.0,31.0,68.0,2.0,9.0,45.2,10.0,2.2,6.2,2.8,10.0,
Felix Jones,21.0,DAL,6.0,0.0,30.0,266.0,3.0,14.0,70.0,60.0,8.9,44.3,5.0,0.0,
J.T. O'Sullivan,29.0,SFO,9.0,8.0,30.0,145.0,0.0,8.0,40.0,18.0,4.8,16.1,3.3,11.0,
Chad Pennington,32.0,MIA,16.0,16.0,30.0,62.0,1.0,6.0,26.7,16.0,2.1,3.9,1.9,3.0,"AP MVP-2,AP CPoY-1"
Leonard Weaver,26.0,SEA,14.0,7.0,30.0,130.0,0.0,9.0,46.7,15.0,4.3,9.3,2.1,1.0,
Josh Cribbs,25.0,CLE,15.0,2.0,29.0,167.0,1.0,12.0,62.1,27.0,5.8,11.1,1.9,0.0,
Laurence Maroney,23.0,NWE,3.0,3.0,28.0,93.0,0.0,4.0,50.0,17.0,3.3,31.0,9.3,0.0,
Tony Romo,28.0,DAL,13.0,13.0,28.0,41.0,0.0,4.0,28.6,15.0,1.5,3.2,2.2,13.0,
Gary Russell,22.0,PIT,12.0,0.0,28.0,77.0,3.0,11.0,53.6,15.0,2.8,6.4,2.3,0.0,
Tarvaris Jackson,25.0,MIN,9.0,5.0,26.0,145.0,0.0,11.0,50.0,29.0,5.6,16.1,2.9,5.0,
Ryan Moats,26.0,HOU,9.0,0.0,26.0,94.0,1.0,6.0,46.2,12.0,3.6,10.4,2.9,0.0,
Derek Anderson,25.0,CLE,10.0,9.0,25.0,55.0,0.0,6.0,36.0,15.0,2.2,5.5,2.5,9.0,
Kerry Collins,36.0,TEN,16.0,15.0,25.0,49.0,0.0,4.0,20.0,17.0,2.0,3.1,1.6,5.0,"PB,AP CPoY-2"
Kyle Eckel,27.0,PHI,5.0,0.0,24.0,79.0,0.0,6.0,50.0,14.0,3.3,15.8,4.8,0.0,
Shaun Hill,28.0,SFO,9.0,8.0,24.0,115.0,2.0,11.0,50.0,24.0,4.8,12.8,2.7,8.0,
Kyle Orton,26.0,CHI,15.0,15.0,24.0,49.0,3.0,8.0,37.5,12.0,2.0,3.3,1.6,6.0,
Lousaka Polite,27.0,MIA,11.0,5.0,23.0,85.0,0.0,15.0,78.3,14.0,3.7,7.7,2.1,0.0,
Jason Wright,26.0,CLE,15.0,0.0,23.0,85.0,0.0,7.0,39.1,11.0,3.7,5.7,1.5,1.0,
Drew Brees,29.0,NOR,16.0,16.0,22.0,-1.0,0.0,4.0,22.7,9.0,0.0,-0.1,1.4,6.0,"PB,AP-2,AP OPoY-1"
Brett Favre,39.0,NYJ,16.0,16.0,21.0,43.0,1.0,4.0,19.0,27.0,2.0,2.7,1.3,10.0,PB
Lorenzo Booker,24.0,PHI,10.0,1.0,20.0,53.0,0.0,2.0,35.0,8.0,2.7,5.3,2.0,0.0,
Jake Delhomme,33.0,CAR,16.0,16.0,20.0,21.0,2.0,2.0,20.0,12.0,1.1,1.3,1.3,5.0,AP CPoY-2
Eli Manning,27.0,NYG,16.0,16.0,20.0,10.0,1.0,3.0,25.0,13.0,0.5,0.6,1.3,5.0,PB
Peyton Manning,32.0,IND,16.0,16.0,20.0,21.0,1.0,4.0,25.0,12.0,1.1,1.3,1.3,1.0,"PB,AP-1,AP MVP-1,AP OPoY-2"
Gus Frerotte,37.0,MIN,11.0,11.0,19.0,7.0,1.0,3.0,21.1,5.0,0.4,0.6,1.7,4.0,
Jacob Hester,23.0,SDG,16.0,3.0,19.0,95.0,1.0,5.0,36.8,28.0,5.0,5.9,1.2,1.0,
Rashard Mendenhall,21.0,PIT,4.0,1.0,19.0,58.0,0.0,3.0,26.3,12.0,3.1,14.5,4.8,0.0,
Michael Robinson,25.0,SFO,16.0,1.0,19.0,50.0,0.0,6.0,52.6,10.0,2.6,3.1,1.2,1.0,
Kurt Warner,37.0,ARI,16.0,16.0,18.0,-2.0,0.0,1.0,5.6,11.0,-0.1,-0.1,1.1,11.0,"PB,AP MVP-7,AP CPoY-4"
DeSean Jackson,22.0,PHI,16.0,15.0,17.0,96.0,1.0,6.0,52.9,21.0,5.6,6.0,1.1,4.0,
P.J. Pope,24.0,DEN,5.0,1.0,17.0,130.0,0.0,6.0,64.7,24.0,7.6,26.0,3.4,0.0,
JaMarcus Russell,23.0,OAK,15.0,15.0,17.0,127.0,1.0,11.0,70.6,24.0,7.5,8.5,1.1,12.0,
Seneca Wallace,28.0,SEA,10.0,8.0,16.0,78.0,0.0,6.0,37.5,23.0,4.9,7.8,1.6,4.0,
Dantrell Savage,23.0,KAN,8.0,0.0,15.0,53.0,0.0,4.0,46.7,11.0,3.5,6.6,1.9,0.0,
Chad Simpson,23.0,IND,11.0,0.0,15.0,45.0,1.0,6.0,60.0,10.0,3.0,4.1,1.4,1.0,
Jason Snelling,25.0,ATL,16.0,1.0,15.0,62.0,0.0,5.0,46.7,13.0,4.1,3.9,0.9,0.0,
Ryan Torain,22.0,DEN,2.0,1.0,15.0,69.0,1.0,4.0,60.0,19.0,4.6,34.5,7.5,0.0,
Garrett Wolfe,24.0,CHI,13.0,0.0,15.0,69.0,0.0,3.0,20.0,38.0,4.6,5.3,1.2,0.0,
Marc Bulger,31.0,STL,15.0,15.0,14.0,41.0,0.0,3.0,28.6,16.0,2.9,2.7,0.9,5.0,
Chris Taylor,25.0,HOU,3.0,0.0,14.0,37.0,0.0,1.0,21.4,17.0,2.6,12.3,4.7,1.0,
Lance Ball,23.0,IND,1.0,0.0,13.0,83.0,0.0,5.0,76.9,23.0,6.4,83.0,13.0,1.0,
Mike Bell,25.0,NOR,4.0,0.0,13.0,42.0,1.0,4.0,38.5,15.0,3.2,10.5,3.3,0.0,
Kevin Kolb,24.0,PHI,6.0,0.0,13.0,2.0,0.0,0.0,0.0,8.0,0.2,0.3,2.2,0.0,
Travis Minor,29.0,STL,13.0,0.0,13.0,29.0,0.0,3.0,23.1,13.0,2.2,2.2,1.0,1.0,
Mike Tolbert,23.0,SDG,13.0,7.0,13.0,37.0,0.0,4.0,53.8,11.0,2.8,2.8,1.0,0.0,
Kenny Watson,30.0,CIN,10.0,0.0,13.0,55.0,0.0,2.0,38.5,7.0,4.2,5.5,1.3,0.0,
Patrick Cobbs,25.0,MIA,16.0,2.0,12.0,88.0,1.0,4.0,33.3,44.0,7.3,5.5,0.8,0.0,
Daunte Culpepper,31.0,DET,5.0,5.0,12.0,25.0,1.0,4.0,33.3,9.0,2.1,5.0,2.4,5.0,
Carey Davis,27.0,PIT,14.0,3.0,12.0,35.0,0.0,2.0,16.7,11.0,2.9,2.5,0.9,2.0,
Harry Douglas,24.0,ATL,16.0,0.0,12.0,69.0,1.0,4.0,58.3,33.0,5.8,4.3,0.8,1.0,
J.P. Losman,27.0,BUF,5.0,2.0,12.0,70.0,2.0,6.0,58.3,17.0,5.8,14.0,2.4,8.0,
Lorenzo Neal,38.0,BAL,16.0,5.0,12.0,25.0,0.0,6.0,50.0,5.0,2.1,1.6,0.8,0.0,
Brad Smith,25.0,NYJ,15.0,1.0,12.0,113.0,0.0,7.0,75.0,36.0,9.4,7.5,0.8,2.0,
Shaun Alexander,31.0,WAS,4.0,0.0,11.0,24.0,0.0,0.0,0.0,8.0,2.2,6.0,2.8,0.0,
Heath Evans,30.0,NWE,16.0,4.0,11.0,23.0,0.0,4.0,36.4,4.0,2.1,1.4,0.7,0.0,
Matt Hasselbeck,33.0,SEA,7.0,7.0,11.0,69.0,0.0,5.0,81.8,15.0,6.3,9.9,1.6,1.0,
Jason McKie,28.0,CHI,11.0,8.0,11.0,26.0,2.0,5.0,54.5,6.0,2.4,2.4,1.0,1.0,
Sage Rosenfels,30.0,HOU,6.0,5.0,11.0,37.0,0.0,3.0,27.3,15.0,3.4,6.2,1.8,4.0,
Eddie Royal,22.0,DEN,15.0,15.0,11.0,109.0,0.0,4.0,45.5,71.0,9.9,7.3,0.7,2.0,
Donnie Avery,24.0,STL,15.0,12.0,10.0,69.0,1.0,3.0,60.0,37.0,6.9,4.6,0.7,0.0,
Tony Richardson,37.0,NYJ,16.0,7.0,10.0,65.0,0.0,6.0,70.0,16.0,6.5,4.1,0.6,0.0,
Lawrence Vickers,25.0,CLE,12.0,8.0,10.0,31.0,0.0,6.0,70.0,10.0,3.1,2.6,0.8,0.0,
Najeh Davenport,29.0,2TM,6.0,0.0,10.0,31.0,0.0,3.0,60.0,8.0,3.1,5.2,1.7,0.0,
Anquan Boldin,28.0,ARI,12.0,11.0,9.0,67.0,0.0,2.0,44.4,30.0,7.4,5.6,0.8,4.0,"PB,AP CPoY-4"
Quinton Ganther,24.0,TEN,13.0,0.0,9.0,61.0,0.0,3.0,66.7,22.0,6.8,4.7,0.7,0.0,
Nick Goings,30.0,CAR,16.0,0.0,9.0,10.0,0.0,0.0,0.0,4.0,1.1,0.6,0.6,0.0,
Brad Hoover,32.0,CAR,16.0,11.0,9.0,18.0,0.0,5.0,55.6,5.0,2.0,1.1,0.6,0.0,
James Johnson,24.0,CIN,4.0,0.0,9.0,29.0,0.0,2.0,44.4,12.0,3.2,7.3,2.3,0.0,
Troy Smith,24.0,BAL,6.0,0.0,9.0,24.0,0.0,2.0,33.3,8.0,2.7,4.0,1.5,0.0,
David Carr,29.0,NYG,3.0,0.0,8.0,10.0,0.0,0.0,12.5,7.0,1.3,3.3,2.7,0.0,
Ahmard Hall,29.0,TEN,16.0,11.0,8.0,21.0,0.0,3.0,62.5,6.0,2.6,1.3,0.5,1.0,
Mike Karney,27.0,NOR,12.0,8.0,8.0,10.0,2.0,5.0,75.0,3.0,1.3,0.8,0.7,0.0,
John Kuhn,26.0,GNB,16.0,3.0,8.0,10.0,1.0,5.0,62.5,3.0,1.3,0.6,0.5,0.0,
Clifton Smith,23.0,TAM,9.0,0.0,8.0,40.0,0.0,3.0,75.0,10.0,5.0,4.4,0.9,4.0,"PB,AP-2"
Aaron Stecker,33.0,NOR,6.0,0.0,8.0,43.0,0.0,2.0,25.0,12.0,5.4,7.2,1.3,0.0,
DeShawn Wynn,25.0,GNB,5.0,0.0,8.0,110.0,1.0,2.0,62.5,73.0,13.8,22.0,1.6,1.0,
Vince Young,25.0,TEN,3.0,1.0,8.0,27.0,0.0,0.0,25.0,8.0,3.4,9.0,2.7,2.0,
B.J. Askew,28.0,TAM,10.0,4.0,7.0,14.0,2.0,6.0,85.7,3.0,2.0,1.4,0.7,0.0,
Michael Bennett,30.0,TAM,5.0,0.0,7.0,12.0,0.0,0.0,0.0,4.0,1.7,2.4,1.4,0.0,
Dan Orlovsky,25.0,DET,10.0,7.0,7.0,29.0,0.0,2.0,42.9,10.0,4.1,2.9,0.7,3.0,
Terrell Owens,35.0,DAL,16.0,16.0,7.0,33.0,0.0,2.0,71.4,8.0,4.7,2.1,0.4,1.0,
Mark Clayton,26.0,BAL,16.0,13.0,6.0,81.0,1.0,3.0,66.7,42.0,13.5,5.1,0.4,0.0,
Devin Hester,26.0,CHI,15.0,8.0,6.0,61.0,0.0,4.0,66.7,20.0,10.2,4.1,0.4,5.0,
Jon Kitna,36.0,DET,4.0,4.0,6.0,34.0,0.0,3.0,66.7,10.0,5.7,8.5,1.5,3.0,
Xavier Omon,23.0,BUF,2.0,0.0,6.0,5.0,0.0,1.0,16.7,2.0,0.8,2.5,3.0,0.0,
Carson Palmer,29.0,CIN,4.0,4.0,6.0,38.0,0.0,2.0,66.7,15.0,6.3,9.5,1.5,2.0,
Mike Sellers,33.0,WAS,16.0,6.0,6.0,24.0,0.0,1.0,16.7,10.0,4.0,1.5,0.4,1.0,PB
Andre Caldwell,23.0,CIN,7.0,4.0,5.0,53.0,0.0,4.0,80.0,26.0,10.6,7.6,0.7,0.0,
Rock Cartwright,29.0,WAS,16.0,0.0,5.0,14.0,0.0,0.0,0.0,7.0,2.8,0.9,0.3,0.0,
Jesse Chatman,29.0,NYJ,3.0,0.0,5.0,8.0,0.0,1.0,20.0,5.0,1.6,2.7,1.7,0.0,
De Dorsey,24.0,CIN,4.0,0.0,5.0,8.0,0.0,0.0,20.0,7.0,1.6,2.0,1.3,0.0,
Ted Ginn Jr.,23.0,MIA,16.0,14.0,5.0,73.0,2.0,2.0,40.0,40.0,14.6,4.6,0.3,5.0,
Brian Griese,33.0,TAM,5.0,5.0,5.0,-1.0,0.0,1.0,20.0,3.0,-0.2,-0.2,1.0,1.0,
Ovie Mughelli,28.0,ATL,16.0,13.0,5.0,16.0,0.0,4.0,80.0,9.0,3.2,1.0,0.3,0.0,
Brady Quinn,24.0,CLE,3.0,3.0,5.0,21.0,0.0,2.0,40.0,12.0,4.2,7.0,1.7,0.0,
Owen Schmitt,23.0,SEA,15.0,1.0,5.0,21.0,0.0,1.0,20.0,14.0,4.2,1.4,0.3,0.0,
Steve Smith Sr.,29.0,CAR,14.0,14.0,5.0,40.0,0.0,3.0,60.0,23.0,8.0,2.9,0.4,1.0,"PB,AP-2,AP OPoY-6"
Jim Sorgi,28.0,IND,1.0,0.0,5.0,8.0,0.0,1.0,20.0,12.0,1.6,8.0,5.0,0.0,
Andrew Walter,26.0,OAK,2.0,1.0,5.0,19.0,0.0,1.0,20.0,13.0,3.8,9.5,2.5,2.0,
Nate Washington,25.0,PIT,16.0,1.0,5.0,18.0,0.0,2.0,60.0,8.0,3.6,1.1,0.3,0.0,
Bernard Berrian,28.0,MIN,16.0,13.0,4.0,26.0,0.0,2.0,50.0,14.0,6.5,1.6,0.3,1.0,
Aveion Cason,29.0,DET,7.0,0.0,4.0,7.0,0.0,0.0,0.0,4.0,1.8,1.0,0.6,1.0,
Jeff Dugan,27.0,MIN,9.0,2.0,4.0,7.0,0.0,4.0,100.0,2.0,1.8,0.8,0.4,0.0,
Matt Flynn,23.0,GNB,7.0,0.0,4.0,4.0,0.0,1.0,25.0,6.0,1.0,0.6,0.6,1.0,
Dante Hall,30.0,STL,8.0,0.0,4.0,9.0,0.0,2.0,50.0,10.0,2.3,1.1,0.5,0.0,
Devery Henderson,26.0,NOR,16.0,13.0,4.0,33.0,0.0,1.0,50.0,30.0,8.3,2.1,0.3,1.0,
Damon Huard,35.0,KAN,5.0,3.0,4.0,13.0,0.0,1.0,25.0,15.0,3.3,2.6,0.8,3.0,
Tony Hunt,23.0,PHI,6.0,2.0,4.0,9.0,1.0,2.0,75.0,6.0,2.3,1.5,0.7,1.0,
Vincent Jackson,25.0,SDG,16.0,16.0,4.0,69.0,0.0,3.0,100.0,31.0,17.3,4.3,0.3,1.0,
Byron Leftwich,28.0,PIT,5.0,0.0,4.0,7.0,1.0,1.0,25.0,8.0,1.8,1.4,0.8,0.0,
Matt Leinart,25.0,ARI,4.0,0.0,4.0,5.0,0.0,1.0,25.0,8.0,1.3,1.3,1.0,2.0,
Josh McCown,29.0,CAR,2.0,0.0,4.0,-3.0,0.0,0.0,0.0,,-0.8,-1.5,2.0,0.0,
Chauncey Washington,23.0,JAX,6.0,0.0,4.0,9.0,0.0,1.0,50.0,6.0,2.3,1.5,0.7,0.0,
Keenan Burton,24.0,STL,13.0,1.0,3.0,8.0,0.0,0.0,33.3,5.0,2.7,0.6,0.2,0.0,
